title,body,source
State College borough seeks input on overlay,"State College Borough Council is seeking resident input on a collegiate overlay plan proposed for the east end of East College Avenue.

A public hearing regarding the proposal has been scheduled for April 13.

The proposal would primarily affect 538 E. College Ave., the location of Kildare’s pub and restaurant. Under the current proposed ordinance , the overlay would allow for a multistory building with commercial space on the bottom and residential units above.

Under the proposed overlay, buildings must provide a commercial space on the first floor in order to be eligible for maximum height and floor space, according to the ordinance. These maximums include a height of seven stories and a floor area ratio of four.

A floor area ratio, or FAR, controls the total development area of a property. On a 10,000-square-foot area, an FAR of four would allow for 4,000 square feet to be developed.

Several incentives are included with the ordinance, allowing a developer to go beyond the maximums in exchange for certain amenities. For example, an additional floor of commercial space would allow for an additional floor and one FAR, and a green building — one that follows certain energy and environmental designs — would gain an additional story, one FAR and a 20 percent parking reduction.

The Planning Commission has taken input from the property owners, public and staff since July, according to the borough website. The commission has since recommended the overlay for consideration by council.

The purpose of the ordinance, according to the council, is to “incentivize the development of buildings which achieve a greater community good.” This is accomplished in part by encouraging diverse residential construction, high-quality building design and in-building parking.

Prior to the hearing, the borough is giving the public additional opportunity to comment on the proposal prior to the public hearing.

Through the borough’s website , residents have been asked, “Will the proposed collegiate housing overlay amendment, which has been recommended by the Planning Commission, achieve its intended purpose?” A group of borough residents participated in a Community Issue Review to develop claims that support, oppose and are neutral to this question, and are available for residents to review.

According to the website, all feedback shared will be presented as testimony during the hearing.",Centre Daily Times
Student housing issue dominates State College planning discussion,"As the borough seeks input into its neighborhood and downtown master plans, concern still looms over the issue of student housing.

Planner Megan Tuttle presented neighborhood and downtown plan progress reports Monday to Borough Council, saying an implementation program is being developed that will tell the story of the projects being done collectively as a community.

The neighborhood plan itself contains 22 individual projects, programs or activities directly addressing 20 plan recommendations, Tuttle said. These projects involve several of the borough’s departments, authorities, boards and commissions.

The plan addresses three themes, she said — neighborhood facilities and appearance, balancing owner- and renter-occupied housing and neighbor-to-neighbor relationships. The goals of each are met through the different programs under each theme, such as neighborhood park improvement projects, evaluating the impacts of intermittent rentals on neighborhoods and researching best practices from peer communities.

The downtown master plan addresses four themes, she said: marketing the district, navigating the district, connecting the district and living in the district. Key programs under these themes include redesigning event logos, a downtown parking study, the capital improvements program and the plan’s influence on the proposed collegiate overlay zoning amendment.

Council members focused their questions on the issue of housing for young professionals, asking if finding a place for young professionals was part of the master plan.

According to Tuttle, the plan states that downtown will emerge as a place where professionals will want to live. Professional housing partnerships could develop through activities related to the downtown and neighborhood plans, and a young professionals group is working on networking activities about what opportunities might exist that the borough can suggest to other municipalities in the county.

Planner Ed LeClear said the Planning Commission has been wrestling with the difference between units to be rented and who would be living in the units.

In the case of the Metropolitan, a multistory apartment building going up along South Atherton Street, the top floors have been reserved for professional and graduate housing. LeClear said a lot of orientation has been placed on the number of bedrooms and the number of people occupying the rooms with the assumption that the market for professionals will require fewer bedrooms and lower occupancy.

Referring back to the proposed collegiate housing overlay, resident Janet Engeman said she thought community members weren’t sure they liked the idea of multistory buildings as far as Nittany Avenue and said the Downtown Improvement District was having a disproportionate influence on the community.

LeClear said the Planning Commission has spent the past seven months discussing what’s in the master plan as it relates to the eastern part of East College Avenue, including the proposed overlay.

“At the end of the day, the downtown plan is a guidance policy document,” he said, “but the details are something you spend a lot of time working with the public and the Planning Commission and eventually the council.”

The commission discussed the collegiate housing overlay during a meeting on Jan. 7.

The next step in the implementation of the plans is to collaborate with neighborhood organizations, student groups and community groups about projects they want to implement, Tuttle said.

A special meeting of the Planning Commission has been scheduled for 5 p.m. Thursday in the New Leaf Initiative office at the municipal building to discuss the neighborhood plan implementation program.",Centre Daily Times
State College Planning Commission considers collegiate housing overlay for east end,"The borough Planning Commission revisited the proposed collegiate housing overlay Wednesday with a text ordinance outlining the requirements and incentives that would be available within the zone on the east end of downtown.

The ordinance was drafted as three parts, planner Ed LeClear said, covering base requirements, incentives and conditional uses for the block facing East College Avenue between Hetzel Street and High Street.

“One of the overarching agreements that we’ve heard in terms of priorities is to get a well-designed building on that site,” LeClear said. “We have to push those design requirements and conditional use.”

Under the proposed overlay, buildings must provide a commercial space on the first floor in order to be eligible for maximum height and floor space, according to the ordinance. These maximums include a height of seven stories and a floor area ratio of four.

Floor area ratios, or FARs, control the total development area of a property. On a 10,000-square-foot area, an FAR of four would allow for 4,000 square feet to be developed.

Several incentives are included with the ordinance, allowing a developer to go beyond the maximums in exchange for certain amenities. For example, an additional floor of commercial space would allow for an additional floor and one FAR, and a green building — one that follows certain energy and environmental designs – would gain an additional story, one FAR and a 20 percent parking reduction.

With certain bonuses, the building could be constructed to 10 stories with a FAR of five and one parking reduction incentive.

Under conditional use, if three of four bonuses — a second floor of commercial space, a green building, underground parking and at least two levels of structured parking above ground — the building height raises to 11 stories with a FAR of six and two parking reduction incentives.

Non-owner occupied rental space can also increase to 11 stories with an additional FAR by dedicating two floors of the building to professional/graduate housing.

Jeff Haas, who owns the property leased by Kildare’s at 538 E. College Ave., opposed a portion of the ordinance dictating the number of bedrooms and the occupancy of certain rooms, saying markets change and the property owner should have the right to change spaces in the building based on demand.

He also opposed a stepback requirement, which stated that for every 45 feet of building height, it must step back from the curb a certain distance.

“You are absolutely destroying everything else that you've put together in the text amendment,” he said, “because you're shooting for a needle building and nobody's going to do it.”

A motion by Jon Eich requesting the removal of the stepback requirement was approved by the commission.

Eich also argued that if the owner must execute a covenant with the borough to assure continuation of amenities, why must they dictate the layout of the floors, saying, “Let the market dictate.”

The commission plans to revisit the ordinance at a future meeting.

Kildare’s general manager Lincoln Stuyvesant said the bar has a long-term lease with Haas and has been told they would be invited into the ground floor commercial space if a new building is developed.",Centre Daily Times
More discussion needed for State College development proposal,"A final decision on a proposed collegiate housing overlay for the east end of the borough is a long way off if Thursday’s Planning Commission discussions are any indication.

On Sept. 3, representatives of the owners of Kildare’s, at 538 E. College Ave., presented a text amendment for the overlay to the commission.

The overlay would have the potential to alter building heights and parking spaces, allowing for taller than normally allowed buildings under the current commercial zoning. Building heights could also be increased based on incentives for development, such as adding professional housing and underground parking.

A majority of the overlay would be dedicated to student housing.

Based on the dramatic proposals, the commission decided extensive discussions would be required to delve into all the potential effects the amendment would create. These discussions would be broken down by topic, such as building height, density, incentives and even if the area should be considered for the amendment.

Before discussions even began, Highlands resident Peg Hambrick suggested the board table the request, asking that if borough leaders plan on doing comprehensive rezoning, no overlays should be added until that is completed.

“I don’t think this request has a certain urgency,” Hambrick said. “We have an adequate supply of student housing in the region. Some might say we have far more than we need.”

Dave Stone, who lives on East Foster Avenue, said another reason the commission might want to consider tabling the proposal is due to potential traffic issues. Developing before addressing the traffic impact locks up land that could potentially be used to alleviate traffic issues, making those small slivers of land impossible to acquire by PennDOT.

The first issue raised by Chairman Michael Roeckel was if the area should be considered for the text amendment. Commissioner Jon Eich said since the proposal was presented, the commission has an obligation to review it.

Vice Chairwoman Anita Genger said the commission needs to be “very, very careful” with their consideration. She said she was disturbed with what happened with the Metropolitan, a 12-story building slated for construction on West College Avenue and South Atherton Street, where the developer took advantage of incentives, ending up with an “overly tall building where it is.”

In an straw poll, the commission agreed to continue with the discussion.

In a following issue, the commission asked if the amendment should permit higher density of residential uses. Most board members agreed an increase in density would be appropriate — within limits.

The main focus of discussion concerned the potential height of a development. Under recommendations made in the downtown master plan, the maximum height of a building would be 7 stories, or 74 to 86 feet.

According to Planning and Community Development Director Ed LeClear, the Kildare’s property represents a hole in the east end of downtown in terms of elevation change. The one-story structure is flanked on three sides by buildings that are nine stories, eight stories and seven stories.

Commissioner Zoe Boniface said the commission has to make practical considerations when it comes to height versus the footprint of a building. Most taller buildings in that section of downtown occupy large areas, whereas Kildare’s is on a single plot. This could potentially result in a very tall, very skinny highrise.

“How many elevator columns will fit in that?” she said. “How long will it take to evacuate? How do you configure underground parking when you need to use more available space for ramps?”

Ultimately, the board unanimously agreed on the recommendation made in the downtown master plan.",Centre Daily Times
Changes possible to East End of State College,"While one end of downtown State College is being prepped to hold a 12-story building, the other end could face big changes as well.

The borough’s Planning Commission recently heard a proposal from Alan Schlossberg, of Perkins Eastman Architects, and Jeff Haas, owner of Kildare’s Irish Pub at 538 E. College Ave.

The duo are proposing what they call the Collegiate Housing Overlay, an attempt to add housing incentives to the area. According to Schlossberg, the overlay would foster “development and activity in a way we hope will be beneficial to the borough and the development community.”

According to their presentation, the current commercial zoning promotes “low-quality housing designs.” But for the housing overlay, developers would be required to include high-quality designs, increased amenities and aesthetically pleasing building materials.

Schlossberg said developers could be more motivated to build better designs that include professional housing. That addition provides flexibility with building height, parking requirements and floor area ratios.

Floor area ratios, or FARs, control the total development area of a property. Schlossberg gave the example of owning a 10,000 square-foot area. With an FAR of 5, he would be allowed to develop 5,000 square feet of his property.

The maximum FAR in the current district is 3. According to Schlossberg, the maximum in the proposed overlay will be 6, of which 5 must be developed as residential. If a percentage of space is developed as professional housing, the FAR increases, leading to a maximum building height of eight stories, or 97 feet.

Under the overlay plan, developers also would have flexibility with parking regulations to create wider sidewalks, underground parking and indoor bicycle parking.

Chairman Michael Roeckel said no vote would be taken on the proposal without further consideration and public input.",Centre Daily Times
Section 1811. Collegiate Housing Overlay,"a. Purpose. The purpose and intent of the Collegiate Housing Overlay is to add value to the downtown and community by requiring projects to incorporate first floor commercial space, maintenance of pedestrian access, increased residential FAR and building height. 

b. Location. Collegiate Housing Overlay projects, as defined herein, are permitted in areas bounded by: 

(i) Parcels zoned Commercial that are located east of the centerline of Hetzel Street, north of centerline of E. Calder Way, west of the Center Line of High Street and south of the Centerline of East College Ave (see map below). 

c.First Floor Commercial Requirement. Buildings must provide first floor commercial in order to be eligible for the overlay maximum build outs in Section 1811.d. 

(i) Street level commercial must be a minimum of 14 feet in height and cannot exceed 20 feet in height. 

(ii) At least 50% of the commercial space’s exterior wall area facing the street shall be devoted to windows affording view by passersby into the interior commercial space. 

d.Maximum Building Height, Stories and Residential.When first floor commercial is provided, each parcel shall be eligible to develop a structure not to exceed the maximum building height, stories and FAR identified below: Maximum building height ........................ 76-84 feet (variation depends on height of ground floor commercial use) Maximum building stories ........................ 7 stories Maximum Residential FAR ..................... 4.0 

e.Parking Requirements. Off-street parking shall be provided in accordance with Section 1807.b. 

f.Bicycle Parking. For developed sites within the Collegiate Overlay, the following provisions for minimum bicycle parking spaces shall apply. 

(a) Multi-family sites..... 1 space per every 2 units 

(b) Mixed-Use sites i. GFA 7,500 Square feet.................. not required ii. GFA 7,501-20,000 square feet.......... 3 spaces iii. GFA 20,001 square feet............... 1 space per 6,000 square feet 

(c)All bicycle parking should be installed on sites in conformance with the front yard requirements.All bicycle parking should be located such that it is easily accessible from building entrances, visible from bicycle access routes and well lit for users’ safety but not exceeding the Zoning Ordinance Part K Lighting standards.",Ordinance
Section 1812. Incentives/Bonuses for Collegiate Housing Overlay Projects,"a. Purpose. The purpose and intent of the Collegiate Housing Overlay is to add value to the downtown and community by requiring projects to incorporate first floor commercial space, maintenance of pedestrian access, increased residential FAR and building height and stories.Collegiate Housing Overlay Incentives/Bonuses will offerdevelopment incentives for increased indoor bicycle parking, use of high quality building materials, commercial space, energy efficiency benchmarks, and surface parking alternatives and owner-occupied housing. The incentives/bonuses can only be pursued if Section 18XX Collegiate Housing Overlay is met. 

b.Location. Incentives/Bonuses Collegiate Housing Overlay projects, as defined herein, are permitted in areas bounded by: (i) Parcels zoned Commercial that are located east of the centerline of Hetzel Street, north of centerline of E. Calder Way, west of the Center Line of High Street and south of the Centerline of East College Ave (see map below). 

c. MaximumAllowance using the Incentives/Bonus Schedule. Each parcel shall be eligible to earn one or more bonuses, not to exceed the maximum building height, stories, residential FAR and parking reduction identified below: Maximum building height ........................ 102 feet Maximum building stories ........................ 9 stories Maximum residential stories ........................ 7 stories Maximum Residential FAR ..................... 5.0 Maximum parking reduction ....................... One incentive may be selected to reduce parking in addition to the reductions permitted in Section 1807. 

d.Incentives/Bonus Schedule. All of the incentives listed in Table 1 are described in detail below. In order for the incentive to qualify for the bonuses, the incentive shall meet or exceed the criteria described below. (Each parcel shall be eligible to earn one or more bonuses, not to exceed the maximum building height and stories identified in Section 1812.c): Table 1 (i.)Description of Incentives. All of the incentives listed in Table 1 above are described in detail below. In order for the incentive to qualify for a bonus, the incentive shall meet or exceed the criteria described below. 

(1) Indoor Protected Bicycle Parking. Indoor protected bicycle parking spaces are secure facilities that protect the entire bike against theft and against inclement weather. These facilities include but are not limited to bike lockers, check-in facilities, monitored bike parking, restricted access parking and personal storage. To qualify for this bonus, applicant must provide at least the minimum required spaces per section 1811.f, and 75% of these spaces must be provided in a protected facility. These spaces must be clearly distinguishable, and described on a site plan, from other required bike parking, which may be in the form of exterior racks/storage areas. The bicycle parking cannot be provided within the units. 

(2) Above Ground Floor Commercial. Any building achieving more than one floor dedicated to non-residential use, will be eligible for one additional floor of height to provide an additional story of commercial use. Only one additional story of height can be achieved using this bonus, with a maximum of 14 feet for the story. The total permitted height of the first floor, plus an additional floor of non-residential cannot exceed 34 feet. 

(3) Green Certified. 

(a) Any building designed andconstructed following the currently applicable Leadership in Energy and Environmental Design (LEED) Green Building Rating System.This includes major renovations to existing buildings as defined in the applicable LEED Green Building Rating System.To qualify for this bonus, a building must obtain the minimum number of points through the LEED certification process to receive designation as a Silver Certified Building or higher (or equivalent level of certification.) 

(b) Any application for a bonus to increase building height through the green certified incentive must include a LEED Project Checklist for New Construction and Major Renovations, or successor checklist that identifies those credits that will be utilized to obtain the required LEED certification. 

(c) Any applicant that intends to obtain a bonus allowing increased building height must post a performance bond with the Borough of State College as surety that the building will receive the appropriate level of LEED certification or higher. State College Borough Council shall establish the amount of this performance bond by Resolution. State College Borough will deposit this bond in an Environmental Sustainability Improvement Fund. 

(d) Conditional occupancy maybe granted prior to receipt of documentation from the US Green Building Council (USGBC) or a USGBC certified professional that the Silver or higher LEED certification has been awarded if a USGBC certified professional reviews the completed construction and notifies the Planning Department the building has been constructed based on the submitted application to USGBC. 

(e) Upon Receipt of Documentation from the US Green Building Council (USGBC) or a USGBC certified professional that the appropriate level of LEED certification has been awarded to the applicant, State College Borough will return the bond, with any accrued interest, to the applicant. Failure to obtain the appropriate level of LEED certification within a period of one year from the date of the issuance of the certification of occupancy will result in forfeiture of the performance bond and accrued interest. The applicant may request the Borough Manager or his/her designee extend this certification period for a period of not to exceed 2 years. Said extension must include documentation that all materials necessary to obtain certification have been submitted to USGBC. State College Borough shall use any forfeited performance bond funds on projects to increase the environmental sustainability of community facilities in State College Borough. 

(4) Underground Parking. Parking located at street level reduces opportunities to utilize this valuable space for activities that increase street life. Locating parking in subsurface facilities expands the total building volume available for commercial and residential development. To qualify for the bonus, a minimum of 65% of the total project parking must be provided in subsurface facilities. (5) Structured Parking within a building footprint. Parking located at street level reduces opportunities to utilize this valuable space for activities that increase street life. Locating parking in structured facilities expands the total building volume available for commercial and residential development. However, site constraints and geology may interrupt the ability to develop subsurface parking.To qualify for the bonus, at least two levels of parking must be provided above the ground level within the footprint of the primary development. For each two levels of parking in an above ground structure, an additional one story of residential or commercial uses may be developed. (6) Owner-Occupied Housing. Owner-occupied residential refers to dwelling units that are a residence of the legal or beneficial owner. Any project pursuing designation as an owner-occupied residential project must establish a home-owners or condominium association and incorporate appropriate provisions in its association by-laws to insure that the use of the property is for owner occupied dwellings, including limitations on leasing units. The by-laws of the home-owners or condominium association shall grant the authority for enforcing the owner-occupied covenant to the Borough of State College. Changes to the by-laws that will affect the occupancy covenant must be approved by the Borough of State College. Legal costs accrued as a result of a conflict in an occupancy covenant must be borne by the home-owners or condominium association.To qualify for this bonus, 100% of the residential units proposed must be designated and used as owner occupied and include a covenant to ensure this use.",Ordinance
Section 1813. Collegiate Housing Overlay Projects as a Conditional Use,"a. Purpose. The purpose and intent of the Collegiate Housing Overlay Project as a Conditional Use is to expand upon the overlay and the incentives/bonus table in the Collegiate housing Overlay by allowing for additional development capacity through the conditional use process. The conditional use requiring projects to require building façade enhancements, aesthetically pleasing materials, high-quality building design and increased tenant diversity. 

In order to qualify for the conditional use both the overlay and the incentives/bonuses must be followed as prescribed in Sections 1811 and 1812. In order to qualify for the conditional use, a minimum residential FAR of 5 must be achieved and the maximum stories in Section 1813.d. 

b. Use. Land and buildings used for a collegiate housing overlay project as a conditional use shall meet the following criteria: 

	(1) Buildings used as churches or places of religious worship or instruction are exempt from this requirement. 

		(i) Residential uses not exceeding the permitted FAR for residential, includingprofessional/graduate housingbonuses. 

	(2) The following restrictions apply to all ground floor areas in buildings located within the Collegiate Housing Overlay: 

		(i) Residential uses of any type are prohibited. 
		
		(ii) At least the first 25 feet of a building's depth with street frontage shall be occupied by a use other than parking or residential that is otherwise a permitted use in the zoning district at that location. 

		(iii) Pedestrian access to parking areas are allowed in this 25-foot area. Vehicular access is prohibited in this 25-foot area. 

	(3) At least 50% of the commercial space's exterior street frontage shall be devoted to windows affording view by passersby into the interior commercial space. 

c.Standards and Criteria. The following standards apply to Collegiate Housing Overlay Project as a Conditional Use: 

	(1) Minimum Lot Area. (Square Feet). ................ 15,000 

	(2) Minimum Lot Width. (On All Frontages) .......... 90 feet 

	(3) Front Yard Depth (On All Frontages) .......... same as underlying zoning 

	(4) Side and rear yards shall comply with the underlying zoning in the Commercial District. 

	(5) Ground Floor Commercial. Ground floor commercial space required.

d.Maximum Allowance using the Incentives/Bonus Schedule. Each parcel shall be eligible to earn additional development capacity by utilizing the Conditional Use process, but may not exceed the maximum building height, stories, residential FAR and parking reduction identified below: 

	(1) Maximum building height ........................ 120 feet 

	(2) Maximum building stories ........................ 10 stories only when Section 1813.(k)Collegiate Housing - Professional Housingis followed but only one floor of such residential use is achieved in the building. 

	(3) Maximum building stories ........................ 11 stories only when Section 1813.(k)Collegiate Housing - Professional Housingis followed and two floors of such residential use is achieved in the building. Maximum of one story for each floor permitted. 

	(4) Maximum Residential FAR ..................... 7 only when 2 floors of Section 1813.(k)Collegiate Housing - Professional Housingis followed. Maximum of one FAR increase for each floor permitted up to a total increase of two FAR. 

	(5) Maximum parking reduction ....................... Two additional parking reductions can be selected as part of the Collegiate Housing Overlay Projects after the one incentive selected from Table 1812.d is calculated as part of Section 1812. 

	(6) Maximum development permitted as part of the conditional use process can be increased to 124 feet and 11 stories if the following conditions are followed: 

		(i) All parts of the conditional use process are met. 

		ii) When two floors of commercial use are provided as described in the Table 1 in Section 1812 and two floors of the professional/graduate units are also provided. 

e.Building Facade Offsets. Long continuous walls in the same plane and blank walls void of architectural form and detail are undesirable along street-facing facade walls. Street-facing facade walls designed to produce shadow lines and visual relief through offsets, projections, changes in texture and materials, use of recesses including windows and doorways, canopies, and/or other architectural features are desirable. Differential between the ground floor walls at street level and the walls on floors above is also desirable. Accordingly, the following visual interest standards shall apply to all walls facing public streets in the Collegiate Housing Overlay: 

	(a) No portion of a building's wall with street frontage shall exceed 50 feet in continuous horizontal length in the same plane. The face of such wall shall be staggered or offset to provide wall segments that project forward and/or backward in order to break the plane by forming recesses, projections, and/or other displacements. Either (a)(i) and (a)(ii) below may be selected. 

		(i) The minimum displacement required between segments is 1 foot. Such offsets may be staggered across individual stories or may be aligned vertically from floor to floor on walls facing the street. In either design, the total horizontal line of the offsets per story shall equal at least 25% of the total horizontal wall length facing the street and shall extend vertically for the whole wall height of that story. Offsets or wall segments may be summed to meet the 25% requirement. No offset is required on walls facing alleys or yards not abutted by street lines. 

		(ii) The displacement required between segments may be achieved by utilizing solid and glazed materials in building facade finishes. Such offsets may be staggered across individual stories or may be aligned vertically from floor to floor on walls facing the street. In either design, the total horizontal line of offsets, per story, shall be distributed along the horizontal wall length(s) facing the street and shall extend vertically for the whole wall height of that story. This offset is required on all visible building facades facing streets, alleys and access easements 

	(b) In addition to offsets, the ground floor of all nonresidential facades facing public streets shall have a separate architectural treatment distinguishing it from the floor immediately above by using architectural features that create visual interest and shadow lines. These features may include elements such as arcades, display windows, recessed or projected entry areas, projecting awnings, canopies, and projecting overhangs. The cumulative length of these features shall equal or exceed 50% of the building's horizontal facade length at street level. These features may be used individually or in any combination that distinguishes the ground floor from the floor above. In some cases variations may extend beyond ground floor and distinguish the higher floors where there is the same desired architecture of the lower floor. 

	(c) Borough Council, following review by the Design Review Board and Planning Commission, may accept an alternative facade design per Section 1810 d.(8)(a)(i) or (a)(ii) and (b) for residential and mixed use buildings. 

f.Corner Expression Guidelines. 

	(a) Corner conditions that offer no opportunities for pedestrian activity and are void of architectural form are undesirable. It is desirable to promote a node for pedestrian activity through high-quality architectural design at corners. Accordingly, parcels located on corners in the Collegiate Housing Overlay are subject to corner expression guidelines. The area regulated by these guidelines is defined as the following: 

		(i) An isosceles triangle formed by the two intersecting front setback lines parallel to the curb face. The triangle has two equal sides of 20 feet, starting at the vertex of the setback lines, and measured outward. 

		(ii) Corners formed by East Calder Way are exempt from these guidelines. 

	(b) Buildings which fall into this defined area shall have the following visual interest standards: 

		(i) Any architectural overhangs occurring above the ground floor must be at least 13 feet above grade in the designated area. 

		(ii) A maximum of 20% of the gross area on the ground floor in the defined area shall be interior space. 

		(iii) At least one entrance to the building must occur within, or directly adjacent to, the defined area at street level. 

		(iv) The cumulative length of architectural features listed in Section 1810.c (8)(b) shall equal or exceed 80% of the building’s horizontal façade length within the defined area up to a height of 45 feet above street level. 

g.Building Materials. Use of vinyl siding and untextured concrete block or other untextured veneers is prohibited.

Ground floor commercial up to and including the fourth floor that fronts on a street shall not be permitted to contain synthetic stucco. The remaining floors facing the street shall not exceed 50 percent coverage of synthetic stucco. The use of synthetic stucco on the remaining floors facing alleys and yards is permitted. 

h.Parking. Collegiate housing overlay projects must comply with the parking requirements of the zoning district in Section 1807, except as provided below: 

i.Off-site Parking Standards. 

	(1) Parking provided in an off-site facility must be within 400 feet of the use served and is under control of the property or has entered into a 99 year lease arrangement for use of the parking spaces. 

	(2) The 400-foot requirement does not apply to valet parking that is established with an agreement in place for a minimum of 29 years that shall be renewable in perpetuity. 

j.Fee-In Lieu Parking. 

	(1) New residential construction is eligible for fee-in-lieu parking after the incentive /bonus table parking reductions as noted in Section 1813.d are applied, provided that: 

		i. Lot size and location restricts ability to comply with parking requirements of this section, up to 30 percent of the required parking may be provided as fee-in-lieu provided that the remaining 70 percent of the required parking is located on the same lot as the residential use served by the parking. 

		ii. Not more than 6 off-street parking spaces may be provided through the fee-in-lieu-of special exception for existing buildings, or portions of existing buildings, which are reused for residential purposes. 

		iii. That the fee-in-lieu requested is not contrary to the public interest (i.e. will not: (i) increase the danger of fire or otherwise endanger public safety; (ii) increase traffic congestion; or (iii) be contrary to the harmony, spirit and purpose of this ordinance.) 

		iv. No zoning permit shall be issued until plans are submitted and approved showing the provision of the parking required for such construction by the terms of the Zoning Ordinance. 

		v. In-lieu payments shall be paid in full, in cash or cash equivalent, and no zoning permit shall be issued until the landowner or his agent has deposited such payments in full. 

		vi. Borough Council shall establish by Resolution the amount of the in-lieu fee per parking space omitted. The amount of the in-lieu fee may be changed from time to time by Council, based on the Borough's most recent experience in the cost of providing on-lot parking spaces in a parking structure, or other generally accepted standards in the construction industry. 

		vii. Special Conditions: 

			a. All in-lieu fees paid by landowners shall be accounted for in a separate fund. Funds shall be used exclusively for: 

				1) providing additional parking facilities in the C, CID, R-0, and UV zoning districts; 

				2) parking facility renovations that result in a net gain of parking spaces 

				3) satellite parking facilities 

				4) transit facility improvements including but not limited to signage and transit stop amenities within 1,000 feet of the development site 

				5) pedestrian improvements related to parking facilities 

				6) non-routine capital repairs, expansion and/or maintenance of existing parking facilities 

				7) acquire land for use as a parking facility in the C, CID, R-0, and UV zoning districts 

				8) Reimbursing the costs of any parking facility in the C, CID, R-0, and UV zoning districts that is under construction or has been completed within one calendar year from the date when the in- lieu payment is received by the Borough. Such lots or facilities may be constructed by the Borough and need not be within reasonable walking distance of properties for which payments have been made, except in accordance with a phased plan. 

			b. It is further the intention of this ordinance that the planned, shared public parking facilities may provide for parking needs in a more efficient manner, resulting in fewer total parking spaces than would be required if provided on-lot by each landowner, so that the public parking spaces provided by such Borough need not necessarily equal those for which in- lieu payments have been made. 

			c. All in-lieu fees collected must be expended or committed to be expended for the provision of additional public parking facilities within 7 years of receipt of the in-lieu payment required. If said payments have not been expended or committed to be expended, the amount of such in-lieu payment, plus interest actually accumulated thereon, shall be refunded to the then- owner of the property for which the in-lieu payment was made, whether such owners are the original payor or a successor owner. The term ""expended"" or ""committed to be expended"" shall be deemed to include, but not limited to, the use of such funds for: construction, or for the purchase of land, the execution of a contract for construction or purchase, official action required for taking land by Eminent Domain, or by expenditure or obligation to pay for engineering, architecture, or other planning expenses. 

				1) In-lieu payments shall be paid in full, in cash or cash equivalent, and no zoning permit shall be issued until the landowner or his or her agent has deposited such payments in full with the Borough. 

				2) If any refunds of in-lieu payments are made after the expiration of the times stated in (c), then such properties for which in-lieu payments were refunded shall be considered lawful non-conforming uses or structures insofar as the required parking was not provided on- lot or in a public facility.",Ordinance
Section 1814. Covenants with the Borough for Bonuses,"a. Purpose. To assure continuation of amenities, housing or uses provided in a project to qualify for bonuses, the property owner must execute a covenant with the Borough of State College. The covenant is required prior to issuance of the building's occupancy permit and is made in consideration of allowing additional building stories or increased floor area above the base zoning or a reduction in required parking based on the incentive/bonus zoning scheme under Section 18XX. 

b. Requirements. The covenant must run with the land and be attached to the land. In the event the property owner fails to abide by the covenant, the Borough shall be empowered to terminate occupancy of the units associated with the additional building stories or increased floor area and are identified in the covenant and to obtain injunctive relief in a court of competent jurisdiction enjoining future occupancy of the building while the violation of the covenant occurs. All covenants must be approved in form by the Borough solicitor and be recorded with the Centre County Recorder of Deeds and referenced on the development plan. Covenants shall be recorded prior to building occupancy and shall specify that the landowner will comply with all approval conditions applicable to the incentive and bonus provisions under which the land development plan was approved.",Ordinance
Section 1815. Termination and Modification of Collegiate Housing Overlay Projects as a Conditional Use,"a. Termination of a Conditional Use Permit. When the conditional use permit is authorized by Council, continuation of such use shall be dependent upon meeting the expressed terms of the permit and the ordinance. In the event of non-compliance, the conditional use permit shall be suspended until such time the use is again compliant. 

b. Modification and Transfer of the Conditional Use Permit. The conditional use permit may be modified only by action of the Municipal Council subject to a new public hearing and review. Transfer of the permit to a new owner or operator is allowed without hearing and shall not constitute modification provided that compliance is maintained with the terms of the original approval.",Ordinance
